title,year,contentRating,imDbRating,stars,runtimeStr,genre_ Action,genre_ Adventure,genre_ Biography,genre_ Comedy,genre_ Crime,genre_ Drama,genre_ Family,genre_ Fantasy,genre_ History,genre_ Horror,genre_ Mystery,genre_ Romance,genre_ Sci-Fi,genre_ Thriller,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Horror,category_Alejandro Monteverde,category_Angel Manuel Soto,category_Antoine Fuqua,category_Atlee,category_Christopher McQuarrie,category_Christopher Nolan,category_Emma Seligman,category_Greta Gerwig,"category_Jeff Rowe, Kyler Spears",category_Justin Simien,category_Kenneth Branagh,category_Michael Chaves,category_Neill Blomkamp,category_Nia Vardalos
Barbie (I),2023,PG-13,7.2,"Margot Robbie, Ryan Gosling, Issa Rae, Kate McKinnon",114 mins,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Nun II,2023,R,5.9,"Taissa Farmiga, Jonas Bloquet, Storm Reid, Anna Popplewell",110 mins,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A Haunting in Venice,2023,PG-13,6.8,"Kenneth Branagh, Michelle Yeoh, Jamie Dornan, Tina Fey",103 mins,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Oppenheimer,2023,R,8.6,"Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr.",180 mins,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jawan,2023,Not Rated,7.7,"Nayanthara, Shah Rukh Khan, Vijay Sethupathi, Deepika Padukone",169 mins,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Equalizer 3,2023,R,7.1,"Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman",109 mins,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,PG,7.3,"Micah Abbey, Shamon Brown Jr., Nicolas Cantu, Brady Noon",99 mins,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
My Big Fat Greek Wedding 3,2023,PG-13,5.4,"Nia Vardalos, John Corbett, Louis Mandylor, Elena Kampouris",92 mins,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bottoms,2023,R,7.6,"Rachel Sennott, Ayo Edebiri, Ruby Cruz, Havana Rose Liu",91 mins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sound of Freedom,2023,PG-13,7.8,"Jim Caviezel, Mira Sorvino, Bill Camp, Cristal Aparicio",131 mins,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Beetle,2023,PG-13,6.6,"Xolo Maridueña, Bruna Marquezine, Becky G, Damián Alcázar",127 mins,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gran Turismo,2023,PG-13,7.4,"David Harbour, Orlando Bloom, Archie Madekwe, Takehiro Hira",134 mins,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mission: Impossible - Dead Reckoning Part One,2023,PG-13,7.9,"Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg",163 mins,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Haunted Mansion,2023,PG-13,6.2,"LaKeith Stanfield, Rosario Dawson, Owen Wilson, Tiffany Haddish",123 mins,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
